26070	DKFZP434K028	26070	DKFZP434K028	11	61521501	61525136	-
3426	CFI	3426	CFI	4	110661848	110723381	-
26082	DKFZP434L187	26082	DKFZP434L187	15	30488239	30506743	+
400831	C20orf202	400831	C20orf202	20	1184098	1188918	+
81494	CFHR5	81494	CFHR5	1	196946667	196978804	+
26077	DKFZP434H168	26077	DKFZP434H168	16	56226529	56228437	-
198437	C20orf201	198437	LKAAEAR1	20	62714729	62715712	-
3075	CFH	3075	CFH	1	196621008	196716634	+
253868	C20orf200	253868	C20orf166-AS1	20	61141438	61148768	-
441951	C20orf199	441951	ZFAS1	20	47894715	47905797	+
284756	C20orf197	284756	C20orf197	20	58630980	58648008	+
149840	C20orf196	149840	C20orf196	20	5731043	5844558	+
79025	C20orf195	79025	C20orf195	20	62184373	62188061	+
629	CFB	629	CFB	6	31913721	31919861	+
115752	DIS3L	115752	DIS3L	15	66585633	66626236	+
653275	CFC1B	653275	CFC1B	2	131278667	131285565	+
22894	DIS3	22894	DIS3	13	73329540	73356344	-
10428	CFDP1	10428	CFDP1	16	75327608	75467387	-
27185	DISC1	27185	DISC1	1	231762561	232177018	+
1675	CFD	1675	CFD	19	859665	863624	+
27184	DISC2	27184	DISC2	1	231950372	231954263	-
3078	CFHR1	3078	CFHR1	1	196788861	196801319	+
84976	DISP1	84976	DISP1	1	222988342	223179337	+
55969	C20orf24	55969	C20orf24	20	35234137	35240960	+
3080	CFHR2	3080	CFHR2	1	196912888	196928356	+
85455	DISP2	85455	DISP2	15	40650434	40663256	+
55257	C20orf20	55257	MRGBP	20	61427804	61431945	+
10878	CFHR3	10878	CFHR3	1	196743925	196763203	+
85458	DIXDC1	85458	DIXDC1	11	111797868	111893374	+
284805	C20orf203	284805	C20orf203	20	31219427	31261743	-
10877	CFHR4	10877	CFHR4	1	196857144	196887843	+
1736	DKC1	1736	DKC1	X	153991031	154005964	+
374387	DKFZp779M0652	374387	DKFZp779M0652	11	45792983	45793909	+
114336	CGB2	114336	CGB2	19	49535130	49536495	+
22943	DKK1	22943	DKK1	10	54074041	54077417	+
93659	CGB5	93659	CGB5	19	49547102	49548568	+
27123	DKK2	27123	DKK2	4	107842959	107957453	-
140683	C20orf70	140683	BPIFA2	20	31749660	31769223	+
25980	C20orf4	25980	AAR2	20	34824339	34844863	+
114335	CGB1	114335	CGB1	19	49538826	49540191	-
100130426	?	100286938	VPS13A-AS1	9	79791672	79792833	-
55321	C20orf46	55321	TMEM74B	20	1161213	1166077	-
100133144	?	100134869	UBE2Q2P2	15	82647286	82707816	+
51507	C20orf43	51507	RTFDC1	20	55043641	55093942	+
100134869	?	100134869	UBE2Q2P2	15	82647286	82707816	+
57136	C20orf3	57136	APMAP	20	24943566	24973610	-
10357	?	10357	HMGB1P1	20	56062997	56064186	-
29058	C20orf30	29058	TMEM230	20	5049129	5093736	-
10431	?	100652748	TIMM23B	10	121253	153870	+
55317	C20orf29	55317	AP5S1	20	3801171	3805954	+
136542	?	100289017	MOXD2P	7	141940556	141946886	-
54976	C20orf27	54976	C20orf27	20	3734146	3749035	-
155060	?	155060	LOC155060	7	148982372	148994403	+
26074	C20orf26	26074	CFAP61	20	20033158	20341359	+
26823	?	26823	RNU12-2P	X	46992071	46992223	+
1072	CFL1	1072	CFL1	11	65622282	65625804	-
222161	DKFZP586I1420	222161	DKFZP586I1420	7	30409666	30412425	+
280660	?	280660	SSX9	X	48160985	48165614	-
1073	CFL2	1073	CFL2	14	35179588	35184029	-
401232	DKFZP686I15217	401232	LINC01011	6	2988201	2991405	+
8837	CFLAR	8837	CFLAR	2	201980877	202037411	+
93429	DKFZp434J0226	93429	LOC93429	19	46713499	46718095	+
142913	CFLP1	142913	CFL1P1	10	89578070	89605369	+
222029	DKFZp434L192	222029	DKFZp434L192	7	56563916	56564977	+
5199	CFP	5199	CFP	X	47483612	47489704	-
94023	DKFZp566F0947	94023	DKFZp566F0947	19	31640783	31641313	+
1080	CFTR	1080	CFTR	7	117120017	117308719	+
266695	DKFZp686A1627	266695	PHF2P1	13	19620293	19692423	-
140828	C20orf56	140828	LINC00261	20	22541191	22559280	-
116828	CG030	116828	N4BP2L2-IT2	13	33078643	33083532	-
374383	DKFZp686O24166	374383	NCR3LG1	11	17373279	17398868	+
113278	C20orf54	113278	SLC52A3	20	740724	756628	-
1081	CGA	1081	CGA	6	87795216	87804865	-
91056	DKFZp761E198	91056	AP5B1	11	65541369	65548062	-
10301	DLEU1	10301	DLEU1	13	50656414	50679433	+
9023	CH25H	9023	CH25H	10	90965694	90967071	-
79469	DLEU2L	79469	DLEU2L	1	64014651	64016307	+
79094	CHAC1	79094	CHAC1	15	41245636	41248717	+
8847	DLEU2	8847	DLEU2	13	50549491	50699680	-
494143	CHAC2	494143	CHAC2	2	53994929	54002320	+
220107	DLEU7	220107	DLEU7	13	51286759	51417885	-
400	ARL1	400	ARL1	12	101786894	101802192	-
284836	C21orf125	284836	LINC00319	21	44869904	44873773	+
728039	C21orf122	728039	SSR4P1	21	46490870	46493126	-
84996	C21orf119	84996	URB1-AS1	21	33765442	33766269	+
140680	C20orf96	140680	C20orf96	20	251504	271419	-
128710	C20orf94	128710	SLX4IP	20	10415951	10604551	+
128602	C20orf85	128602	C20orf85	20	56725983	56736186	+
79133	C20orf7	79133	NDUFAF5	20	13765672	13799067	+
140856	C20orf79	140856	SCP2D1	20	18794370	18795036	+
92667	C20orf72	92667	MGME1	20	17949534	17971765	+
128861	C20orf71	128861	BPIFA3	20	31805130	31815612	+
94027	CGB7	94027	CGB7	19	49557531	49561603	-
27122	DKK3	27122	DKK3	11	11984543	12031373	-
94115	CGB8	94115	CGB8	19	49550895	49552368	-
27121	DKK4	27121	DKK4	8	42231586	42234674	-
1082	CGB	1082	CGB3	19	49526126	49527632	-
27120	DKKL1	27120	DKKL1	19	49866466	49878373	+
8545	CGGBP1	8545	CGGBP1	3	88101100	88199016	-
1737	DLAT	1737	DLAT	11	111895538	111935002	+
84952	CGNL1	84952	CGNL1	15	57668703	57842925	+
10395	DLC1	10395	DLC1	8	12940870	13373167	-
57530	CGN	57530	CGN	1	151483331	151511168	+
1738	DLD	1738	DLD	7	107531586	107561643	+
10669	CGREF1	10669	CGREF1	2	27322159	27341995	-
9940	DLEC1	9940	DLEC1	3	38080497	38164228	+
150142	C21orf121	150142	ZNF295-AS1	21	43442113	43445060	+
10668	CGRRF1	10668	CGRRF1	14	54976587	55005334	+
51142	CHCHD2	51142	CHCHD2	7	56169266	56174187	-
54927	CHCHD3	54927	CHCHD3	7	132469623	132766839	-
131474	CHCHD4	131474	CHCHD4	3	14153577	14166371	-
84269	CHCHD5	84269	CHCHD5	2	113342023	113346617	+
51329	ARL6IP4	51329	ARL6IP4	12	123464607	123467460	+
54067	C21orf49	54067	C21orf62-AS1	21	34144411	34170017	+
23204	ARL6IP1	23204	ARL6IP1	16	18802991	18812894	-
54069	C21orf45	54069	MIS18A	21	33640530	33651376	-
388815	C21orf34	388815	MIR99AHG	21	17442842	17982094	+
221079	ARL5B	221079	ARL5B	10	18948264	18970568	+
8209	C21orf33	8209	C21orf33	21	45553476	45622835	+
26225	ARL5A	26225	ARL5A	2	152657480	152685009	-
755	C21orf2	755	C21orf2	21	45748827	45759285	-
379	ARL4D	379	ARL4D	17	41476353	41478504	+
54084	C21orf29	54084	TSPEAR	21	45917775	46131495	-
10123	ARL4C	10123	ARL4C	2	235401685	235405721	-
54094	C21orf15	54055	CYP4F29P	21	15218979	15220176	-
10124	ARL4A	10124	ARL4A	7	12726452	12730559	+
387486	C21orf131	387486	LINC00320	21	22114863	22175569	-
403	ARL3	403	ARL3	10	104433484	104474190	-
284835	C21orf130	284835	LINC00323	21	42513427	42524877	-
402	ARL2	402	ARL2	11	64781585	64789657	+
150135	C21orf129	150135	LINC00479	21	43131680	43135935	-
23568	ARL2BP	23568	ARL2BP	16	57279037	57287547	+
150147	C21orf128	150147	UMODL1-AS1	21	43522244	43528644	-
150356	CHADL	150356	CHADL	22	41605861	41636935	-
1739	DLG1	1739	DLG1	3	196769431	197026171	-
1101	CHAD	1101	CHAD	17	48541853	48547242	-
1740	DLG2	1740	DLG2	11	83166055	85338314	-
10036	CHAF1A	10036	CHAF1A	19	4402660	4443394	+
1741	DLG3	1741	DLG3	X	69664705	69725343	+
8208	CHAF1B	8208	CHAF1B	21	37757689	37789125	+
1742	DLG4	1742	DLG4	17	7093209	7123369	-
1103	CHAT	1103	CHAT	10	50817141	50873150	+
9231	DLG5	9231	DLG5	10	79550549	79686348	-
400916	CHCHD10	400916	CHCHD10	22	24108021	24110141	-
9229	DLGAP1	9229	DLGAP1	18	3496030	4455310	-
118487	CHCHD1	118487	CHCHD1	10	75541808	75543406	+
390790	ARL5C	390790	ARL5C	17	37313147	37322414	-
1107	CHD3	1107	CHD3	17	7788096	7816075	+
1108	CHD4	1108	CHD4	12	6679248	6716551	-
26038	CHD5	26038	CHD5	1	6161847	6240194	-
84181	CHD6	84181	CHD6	20	40030741	40247133	-
55636	CHD7	55636	CHD7	8	61591321	61780587	+
55130	ARMC4	55130	ARMC4	10	28101095	28287977	-
56911	C21orf7	56911	MAP3K7CL	21	30449659	30548210	+
219681	ARMC3	219681	ARMC3	10	23216954	23327452	+
282566	C21orf71	282566	LINC00515	21	26955087	26955536	-
84071	ARMC2	84071	ARMC2	6	109169617	109295352	+
85395	C21orf70	85395	FAM207A	21	46359918	46396891	+
84536	C21orf67	84536	LINC01547	21	46353199	46359828	-
55156	ARMC1	55156	ARMC1	8	66514691	66546452	-
83787	ARMC10	83787	ARMC10	7	102715174	102740210	+
59271	C21orf63	59271	EVA1C	21	33784034	33887702	+
132946	ARL9	132946	ARL9	4	57371375	57390149	+
56245	C21orf62	56245	C21orf62	21	34162984	34186053	-
55207	ARL8B	55207	ARL8B	3	5163930	5222601	+
